,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Lima,PE,-12.0432,-77.0282,58.89,85,100,9.22,overcast clouds
266,Wangkui,CN,46.8333,126.5,60.19,40,47,4.83,scattered clouds
267,Boueni,YT,-12.9025,45.0761,80.58,70,7,4.94,clear sky
268,Saldanha,ZA,-33.0117,17.9442,50.05,73,69,11.14,broken clouds
269,Lingsugur,IN,16.1667,76.5167,83.53,61,99,11.92,overcast clouds
270,Kloulklubed,PW,7.0419,134.2556,84.25,72,71,9.51,broken clouds
271,Suntar,RU,62.1444,117.6319,33.42,51,99,3.8,overcast clouds
272,Takoradi,GH,4.8845,-1.7554,74.1,93,88,8.1,light rain
273,Meulaboh,ID,4.1363,96.1285,84.11,68,97,8.72,overcast clouds
274,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,83,75,6.91,broken clouds
275,Abnub,EG,27.2696,31.1511,89.8,26,0,10.07,clear sky
276,Alekseyevka,RU,50.6309,38.6903,64.18,83,55,9.01,broken clouds
277,Altoona,US,40.5187,-78.3947,50.56,91,100,3.8,light rain
278,Abu Samrah,SY,35.3029,37.1841,81.36,37,0,6.29,clear sky
279,Mawlaik,MM,23.6333,94.4167,96.22,46,97,1.92,moderate rain
280,Tandalti,SD,13.0167,31.8667,81.86,60,80,10.07,broken clouds
281,Labuhan,ID,-6.8844,112.2051,86.83,63,64,10.22,moderate rain
282,Santa Maria Del Oro,MX,25.9333,-105.3667,61.86,72,89,4.68,overcast clouds
283,Niamey,NE,13.5137,2.1098,75.49,100,0,0.0,clear sky
284,Waingapu,ID,-9.6567,120.2641,86.49,63,77,7.36,heavy intensity rain
285,Ayr,GB,55.4627,-4.6339,53.58,82,40,21.85,scattered clouds
286,Agadez,NE,19.75,10.25,85.51,37,16,7.34,few clouds
287,Baghdogra,IN,26.7,88.3167,90.64,57,6,3.76,clear sky
288,Olafsvik,IS,64.8945,-23.7142,47.05,81,100,19.17,overcast clouds
289,Piribebuy,PY,-25.4833,-57.05,57.43,97,33,3.13,scattered clouds
290,Huaihua,CN,27.5494,109.9592,95.18,39,45,8.01,scattered clouds
291,Podor,MR,16.6527,-14.9587,83.64,51,30,9.28,scattered clouds
292,Changping,CN,40.2186,116.2197,80.24,45,100,6.98,overcast clouds
293,Hovd,MN,48.0056,91.6419,31.8,27,9,8.68,clear sky
294,Alofi,NU,-19.0595,-169.9187,75.09,73,24,20.67,few clouds
295,Wurzburg,DE,49.7878,9.9361,49.6,83,100,10.83,moderate rain
296,Portland,US,45.5234,-122.6762,66.42,82,1,5.01,clear sky
297,Muros,ES,42.7762,-9.0603,60.1,93,90,4.43,overcast clouds
298,Slavonski Brod,HR,45.1603,18.0156,60.39,79,99,3.42,overcast clouds
299,Willmar,US,45.1219,-95.0433,60.03,63,0,8.05,clear sky
300,Geraldton,AU,-28.7667,114.6,77.41,38,0,16.11,clear sky
301,Gamboma,CG,-1.8764,15.8644,75.47,82,69,1.68,broken clouds
302,Maldonado,UY,-34.6667,-54.9167,52.99,91,34,2.3,scattered clouds
303,Algiers,DZ,36.7525,3.042,57.02,88,20,4.61,few clouds
304,Carauari,BR,-4.8828,-66.8958,72.79,93,95,3.74,overcast clouds
305,Newcastle,AU,-32.9272,151.7765,62.98,70,75,18.41,moderate rain
306,East London,ZA,-33.0153,27.9116,61.74,77,0,11.5,clear sky
307,Maningrida,AU,-12.0667,134.2667,87.96,54,70,11.21,broken clouds
308,Vestmannaeyjar,IS,63.4427,-20.2734,47.05,87,100,14.88,overcast clouds
309,Gotsu,JP,35.0,132.2167,75.47,66,0,6.2,clear sky
