City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Dunedin,NZ,2022-09-30 16:30:33,-45.8742,170.5036,41.81,77,4,3.65
266,Kahului,US,2022-09-30 16:34:16,20.8947,-156.47,81.84,73,0,11.01
267,Olafsvik,IS,2022-09-30 16:34:16,64.8945,-23.7142,46.49,88,96,24.02
268,Spring Hill,US,2022-09-30 16:33:19,28.4769,-82.5255,78.06,64,0,6.91
269,Hurghada,EG,2022-09-30 16:34:17,27.2574,33.8129,90.19,33,0,8.72
270,Puerto Asis,CO,2022-09-30 16:34:17,0.5133,-76.5007,90.95,51,60,3.91
271,Soma,TR,2022-09-30 16:34:18,39.1855,27.6094,83.35,67,3,4.09
272,Port Blair,IN,2022-09-30 16:33:43,11.6667,92.75,80.98,86,100,18.77
273,Rokytne,UA,2022-09-30 16:34:18,51.2796,27.214,54.39,93,100,3.27
274,Mabaruma,GY,2022-09-30 16:35:20,8.2,-59.7833,89.56,55,99,6.76
275,Cortez,US,2022-09-30 16:35:20,37.3489,-108.5859,69.69,39,0,0.0
276,Huangmei,CN,2022-09-30 16:35:20,30.1924,116.025,78.44,65,55,5.06
277,Namibe,AO,2022-09-30 16:35:21,-15.1961,12.1522,66.96,89,53,9.95
278,Nouakchott,MR,2022-09-30 16:35:21,18.0858,-15.9785,93.13,53,9,16.08
279,Nokaneng,BW,2022-09-30 16:35:22,-19.6667,22.2667,83.05,15,9,3.0
280,Barabai,ID,2022-09-30 16:35:22,-2.5833,115.3833,74.97,92,100,0.56
281,North Bend,US,2022-09-30 16:30:48,43.4065,-124.2243,57.92,100,100,6.91
282,Tasiilaq,GL,2022-09-30 16:35:23,65.6145,-37.6368,42.96,75,100,6.22
283,San Cristobal,VE,2022-09-30 16:35:24,7.7669,-72.225,73.58,54,99,4.54
284,Pawayan,IN,2022-09-30 16:35:24,28.0667,80.1,77.41,64,4,4.34
285,Cabras,IT,2022-09-30 16:35:25,39.93,8.5314,65.55,68,97,13.6
286,Tigil,RU,2022-09-30 16:35:25,57.8,158.6667,34.86,93,54,5.75
287,Montorio Al Vomano,IT,2022-09-30 16:35:25,42.5831,13.6383,73.94,74,80,4.61
288,Marsh Harbour,BS,2022-09-30 16:35:26,26.5412,-77.0636,82.06,72,34,1.12
289,Egvekinot,RU,2022-09-30 16:35:19,66.3167,-179.1667,25.16,68,100,4.47
290,Xiongyue,CN,2022-09-30 16:35:26,40.1774,122.1228,65.98,89,1,9.13
291,Leh,IN,2022-09-30 16:35:27,34.1667,77.5833,53.19,40,50,5.01
292,Itoman,JP,2022-09-30 16:35:28,26.1247,127.6694,80.62,83,40,2.3
