City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Victoria,HK,89.19,scattered clouds,22.2855,114.1577,Mini Central
127,Daru,PG,81.59,broken clouds,-9.0763,143.2092,Daru Lodge
133,Atuona,PF,76.68,clear sky,-9.8,-139.0333,Villa Enata
139,Kieta,PG,82.65,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
141,Mabaruma,GY,74.53,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
145,Sabha,LY,83.8,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
147,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Alize Plage
151,Prado,BR,70.3,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
156,Darab,IR,85.12,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
157,Jumla,NP,71.53,few clouds,29.2747,82.1838,Royal Garden Hotel
160,Cabo San Lucas,MX,82.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
162,Charters Towers,AU,83.8,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
166,Zhangye,CN,71.74,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
174,Yavatmal,IN,86.07,scattered clouds,20.4,78.1333,Palash Inn
176,Limon,CR,75.06,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
178,Bolobo,CD,75.69,scattered clouds,-2.1667,16.2333,Hotel de Stephen
179,Sabzevar,IR,74.48,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
180,Soure,BR,79.18,scattered clouds,-0.7167,-48.5233,Casarão da Amazônia
186,Karaton,ID,88.11,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
187,Namatanai,PG,83.43,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
189,Biloela,AU,80.04,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
194,Ranong,TH,78.73,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
196,Chon Daen,TH,82.51,overcast clouds,16.1895,100.8596,ซับขลุง
197,Gulu,UG,70.68,light rain,2.7746,32.299,ACHOLI INN
200,Mizdah,LY,84.83,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
204,Ibra,OM,88.38,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
206,Lodwar,KE,85.59,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
209,Georgetown,MY,85.95,scattered clouds,5.4112,100.3354,Cititel Penang
215,Montepuez,MZ,77.68,clear sky,-13.1256,38.9997,PembaAparthotel
216,Sola,VU,81.59,clear sky,-13.8833,167.55,Leumerus Bungalows
219,Bardiyah,LY,83.73,clear sky,31.7561,25.0865,بورتو بردية
221,Barabai,ID,85.42,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
222,Porto Novo,BJ,78.62,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
225,Alice Springs,AU,78.35,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
226,Biltine,TD,84.52,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
227,Hambantota,LK,88.14,scattered clouds,6.1241,81.1185,Bungalow 63
234,Nuqui,CO,75.09,light rain,5.7125,-77.2708,Hotel Nuquimar
236,Bilma,NE,88.25,clear sky,18.6853,12.9164,Expeditions Ténére voyages
238,Musiri,IN,87.84,moderate rain,10.9333,78.45,HOTEL GATEWAY
241,Ixtapa,MX,76.32,overcast clouds,20.7,-105.2,hotel la terminal
242,Uirauna,BR,73.85,overcast clouds,-6.5183,-38.4122,Estrela azul
249,Puerto Escondido,MX,76.8,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
250,Marzuq,YE,82.99,clear sky,14.4,46.4667,حيد القفلة
251,Acapulco,MX,79.54,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
254,Lakatoro,VU,82.11,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
258,Tabou,CI,74.88,overcast clouds,4.423,-7.3528,hotêl doufoulougou
263,Katobu,ID,86.11,overcast clouds,-4.9408,122.5276,La Ode Husein
267,Boueni,YT,80.58,clear sky,-12.9025,45.0761,The feet in water
269,Lingsugur,IN,83.53,overcast clouds,16.1667,76.5167,Shree devi savji hotel
